grapheme	phoneme
ปฏิสังขรณ์	p a ˨˩ . t i ˨˩ . s a ŋ ˩˩˦ . kʰ ɔː n ˩˩˦
แคชเมียร์	kʰ ɛː s ˦˥ . m ia̯ ˧
แท็บเล็ต	tʰ ɛ p̚ ˦˥ . l e t̚ ˦˥
ความอำมหิต	kʰ w aː m ˧ . ʔ a m ˧ . m a ˦˥ . h i t̚ ˨˩
ไก่อ่อน	k aj ˨˩ . ʔ ɔː n ˨˩
ฤทัย	rɯ ˦˥ . tʰ aj ˧
บรัสเซลส์	b r a s ˦˥ . s eː l ˧
กะละแม	k a ˨˩ . l a ˦˥ . m ɛː ˧
ไทเฮา	tʰ aj ˧ . h aw ˧
ที่จอดรถ	tʰ iː ˥˩ . t͡ɕ ɔː t̚ ˨˩ . r o t̚ ˦˥
มลภาวะทางแสง	m o n ˧ . l a ˦˥ . pʰ aː ˧ . w a ˦˥ . tʰ aː ŋ ˧ . s ɛː ŋ ˩˩˦
โปงลาง	p oː ŋ ˧ . l aː ŋ ˧
ยาหม่อง	j aː ˧ . m ɔ ŋ ˨˩
กองพัน	k ɔː ŋ ˧ . pʰ a n ˧
หมวกนิรภัย	m ua̯ k̚ ˨˩ . n i ˦˥ . r a ˦˥ . pʰ aj ˧
เหยียบ	j ia̯ p̚ ˨˩
เว็จมรรค	w e t̚ ˦˥ . t͡ɕ a ˨˩ . m a k̚ ˦˥
ศูนย์กลาง	s uː n ˩˩˦ . k l aː ŋ ˧
ไก่ได้พลอย	k aj ˨˩ . d aːj ˥˩ . pʰ l ɔːj ˧
สายไฟ	s aːj ˩˩˦ . f aj ˧
ความช่วยเหลือ	kʰ w aː m ˧ . t͡ɕʰ ua̯j ˥˩ . lɯ a̯ ˩˩˦
หนักแน่น	n a k̚ ˨˩ . n ɛ n ˥˩
อุดมศึกษา	ʔ u ˨˩ . d o m ˧ . m a ˦˥ . s ɯ k̚ ˨˩ . s aː ˩˩˦
ใจร้อน	t͡ɕ aj ˧ . r ɔː n ˦˥
กะทัดรัด	k a ˨˩ . tʰ a t̚ ˦˥ . r a t̚ ˦˥
เอกพจน์	ʔ eː k̚ ˨˩ . k a ˨˩ . pʰ o t̚ ˦˥
ล็อบสเตอร์	l ɔ p̚ ˦˥ . t ɤː ˥˩
เอา	ʔ aw
ตุลาการภิวัฒน์	t u ˨˩ . l aː ˧ . k aː n ˧ . pʰ i ˦˥ . w a t̚ ˦˥
กะจั๊ว	k a ˨˩ . t͡ɕ ua̯ ˦˥
นโยบาย	n a ˦˥ . j oː ˧ . b aːj ˧
มีอันเป็นไป	m iː ˧ . ʔ a n ˧ . p e n ˧ . p aj ˧
ชาติพันธุ์	t͡ɕʰ aː t̚ ˥˩ . t i ˨˩ . pʰ a n ˧
หาก	h aː k̚ ˨˩
มะกรูด	m a ˦˥ . k r uː t̚ ˨˩
ระฆัง	r a ˦˥ . kʰ a ŋ ˧
อวน	ʔ ua̯ n
ยึดมั่น	j ɯ t̚ ˦˥ . m a n ˥˩
ฮอร์โมน	h ɔː ˧ . m oː n ˧
เงี่ยง	ŋ ia̯ ŋ ˥˩
นักเดินทาง	n a k̚ ˦˥ . d ɤː n ˧ . tʰ aː ŋ ˧
ข้าวหอมมะลิ	kʰ aːw ˥˩ . h ɔː m ˩˩˦ . m a ˦˥ . l i ʔ ˦˥
ยาบรรเทาปวด	j aː ˧ . b a n ˧ . tʰ aw ˧ . p ua̯ t̚ ˨˩
ควาน	kʰ w aː n ˧
ตัวนำ	t ua̯ ˧ . n a m ˧
สุกร	s u ˨˩ . k ɔː n ˧
ธนบัตร	tʰ o n ˧ . n a ˦˥ . b a t̚ ˨˩
คานาอัน	kʰ aː ˧ . n aː ˧ . ʔ a n ˧
รั่ว	r ua̯ ˥˩
ปกป้อง	p o k̚ ˨˩ . p ɔ ŋ ˥˩
เศรษฐยาธิปไตย	s eː t̚ ˨˩ . tʰ a ˨˩ . j aː ˧ . tʰ i ˦˥ . p a ˨˩ . t aj ˧
จาการ์ตา	t͡ɕ aː ˧ . k aː ˧ . t aː ˥˩
รัฐวิสาหกิจ	r a t̚ ˦˥ . w i ˦˥ . s aː ˩˩˦ . h a ˨˩ . k i t̚ ˨˩
กฤดีกา	k r i ˨˩ . d iː ˧ . k aː ˧
สายัณห์สวัสดิ์	s aː ˩˩˦ . j a n ˧ . s a ˨˩ . w a t̚ ˨˩
ใส่เกียร์หมา	s aj ˨˩ . k ia̯ ˧ . m aː ˩˩˦
บ้านพัก	b aː n ˥˩ . pʰ a k̚ ˦˥
เส้นแบ่งเขตวันสากล	s e n ˥˩ . b ɛ ŋ ˨˩ . kʰ eː t̚ ˨˩ . w a n ˧ . s aː ˩˩˦ . k o n ˧
นาเคศ	n aː ˧ . kʰ eː t̚ ˥˩
กระดาษ	k r a ˧ . d aː t̚ ˨˩
น้ำอบ	n aː m ˦˥ . ʔ o p̚ ˨˩
ธูปฤๅษี	tʰ uː p̚ ˥˩ . rɯː ˧ . s iː ˩˩˦
ปล้ำ	p l a m ˥˩
ประพาส	p r a ˨˩ . pʰ aː t̚ ˥˩
ระบบประสาท	r a ˦˥ . b o p̚ ˨˩ . p r a ˨˩ . s aː t̚ ˨˩
สุมน	s u ˨˩ . m o n ˧
โสมวาร	s oː m ˩˩˦ . m a ˦˥ . w aː n ˧
ละอองลอย	l a ˦˥ . ʔ ɔː ŋ ˧ . l ɔːj ˧
หลืบ	lɯː p̚ ˨˩
จรด	t͡ɕ a ˨˩ . r o t̚ ˨˩
ชุดว่ายน้ำ	t͡ɕʰ u t̚ ˦˥ . w aːj ˥˩ . n aː m ˦˥
ต่อย	t ɔj ˨˩
ความกตัญญูกตเวที	kʰ w aː m ˧ . k a ˨˩ . t a n ˧ . j uː ˧ . k a ˨˩ . t a ˨˩ . w eː ˧ . tʰ iː ˧
มีน	m iː n ˧
พ่อแม่พี่น้อง	pʰ ɔː ˥˩ . m ɛː ˥˩ . pʰ iː ˥˩ . n ɔː ŋ ˦˥
ขนมปังขิง	kʰ a ˨˩ . n o m ˩˩˦ . p a ŋ ˧ . kʰ i ŋ ˩˩˦
ทางน้ำล้น	tʰ aː ŋ ˧ . n aː m ˦˥ . l o n ˦˥
ผู้วิเศษ	pʰ uː ˥˩ . w i ˦˥ . s eː t̚ ˨˩
ความคลาด	kʰ w aː m ˧ . kʰ l aː t̚ ˥˩
ประวัติการณ์	p r a ˨˩ . w a t̚ ˨˩ . t i ˨˩ . k aː n ˧
ญาติ	j aː t̚ ˥˩
น้ำแข็ง	n a m ˦˥ . kʰ ɛ ŋ ˩˩˦
ปรอท	p a ˨˩ . r ɔː t̚ ˨˩
ร้อนลน	r ɔː n ˦˥ . l o n ˧
อภัย	ʔ a ˨˩ . pʰ aj ˧ . j a ˦˥ .
ท่าดีทีเหลว	tʰ aː ˥˩ . d iː ˧ . tʰ iː ˧ . l eːw ˩˩˦
ราชรัฐ	r aː t̚ ˥˩ . t͡ɕʰ a ˦˥ . r a t̚ ˦˥
ตู้เสื้อผ้า	t uː ˥˩ . s ɯa̯ ˥˩ . pʰ aː ˥˩
เฟ้อ	f ɤː ˦˥
สุภาพสตรี	s u ˨˩ . pʰ aː p̚ ˥˩ . s a t̚ ˨˩ . t r iː ˧
หักหลัง	h a k̚ ˨˩ . l a ŋ ˩˩˦
ขวิด	kʰ w i t̚ ˨˩
มะรืน	m a ˦˥ . rɯː n ˧
เถา	tʰ aw ˩˩˦
สะพานลอย	s a ˨˩ . pʰ aː n ˧ . l ɔːj ˧
ผู้จำหน่าย	pʰ uː ˥˩ . t͡ɕ a m ˧ . n aːj ˨˩
พายุฝน	pʰ aː ˧ . j u ˦˥ . f o n ˩˩˦
หินดินดาน	h i n ˩˩˦ . d i n ˧ . d aː n ˧
ชุ่ย	t͡ɕʰ uj ˥˩
น่ากลัว	n aː ˥˩ . k l ua̯ ˧
ผู้พิพากษา	pʰ uː ˥˩ . pʰ i ˦˥ . pʰ aː k̚ ˥˩ . s aː ˩˩˦
ออกทะเล	ʔ ɔː k̚ ˨˩ . tʰ a ˦˥ . l eː ˧
โรหิต	r oː ˧ . h i t̚ ˨˩
ระรัว	r a ˦˥ . r ua̯ ˧
แกรด	k r ɛː t̚ ˦˥
แพรว	pʰ r ɛːw ˧
เซาท์แคโรไลนา	s aw ˦˥ . kʰ ɛː ˧ . r oː ˧ . l aj ˧ . n aː ˥˩
ล้วงคองูเห่า	l ua̯ ŋ ˦˥ . kʰ ɔː ˧ . ŋ uː ˧ . h aw ˨˩
เส้นตรง	s e n ˥˩ . t r o ŋ ˧
อะดีเกยา	ʔ a ˨˩ . d iː ˧ . k eː ˧ . j aː ˥˩
บูร์กินาฟาโซ	b uː ˧ . k i ˨˩ . n aː ˥˩ . f aː ˧ . s oː ˥˩
คำนึง	kʰ a m ˧ . n ɯ ŋ ˧
ฝีมือ	f iː ˩˩˦ . m ɯː ˧
ลูกปืน	l uː k̚ ˥˩ . p ɯː n ˧
สืบทอด	s ɯː p̚ ˨˩ . tʰ ɔː t̚ ˥˩
กล้องยาสูบ	k l ɔ ŋ ˥˩ . j aː ˧ . s uː p̚ ˨˩
เกลียดตัวกินไข่	k l ia̯ t̚ ˨˩ . t ua̯ ˧ . k i n ˧ . kʰ aj ˨˩
หงสาวดี	h o ŋ ˩˩˦ . s aː ˩˩˦ . w a ˦˥ . d iː ˧
ฉัน	t͡ɕʰ a n ˩˩˦
ทรชน	tʰ ɔː ˧ . r a ˦˥ . t͡ɕʰ o n ˧
อัลลอฮ์	ʔ a n ˧ . l ɔʔ ˦˥
ชลประทาน	t͡ɕʰ o n ˧ . l a ˦˥ . p r a ˨˩ . tʰ aː n ˧
บาป	b aː p̚ ˨˩
ข้าวโพดอ่อน	kʰ aːw ˥˩ . pʰ oː t̚ ˥˩ . ʔ ɔː n ˨˩
ฅ	kʰ ɔː ˧
ศิลปศาสตร์	s i n ˩˩˦ . l a ˦˥ . p a ˨˩ . s aː t̚ ˨˩
เจ้ามือ	t͡ɕ aːw ˥˩ . m ɯː ˧
ไม้ขีด	m aːj ˦˥ . kʰ iː t̚ ˨˩
เชื่อ	t͡ɕʰ ɯa̯ ˥˩
หยุ่น	j u n ˨˩
ฮวน	h ua̯ n ˧
คล้ายคลึง	kʰ l aːj ˦˥ . kʰ lɯ ŋ ˧
คำพ้องเสียง	kʰ a m ˧ . pʰ ɔː ŋ ˦˥ . s ia̯ ŋ ˩˩˦
สิทธิมนุษยชน	s i t̚ ˨˩ . tʰ i ˦˥ . m a ˦˥ . n u t̚ ˦˥ . s a ˨˩ . j a ˦˥ . t͡ɕʰ o n ˧
วัวหายล้อมคอก	w ua̯ ˧ . h aːj ˩˩˦ . l ɔː m ˦˥ . kʰ ɔː k̚ ˥˩
ชู้	t͡ɕʰ uː ˦˥
หน่วยกิต	n ua̯j ˨˩ . k i t̚ ˨˩
ทราย	s aːj ˧
มะเร็ง	m a ˦˥ . r e ŋ ˧
ขลุม	kʰ l u m ˩˩˦
สำราญ	s a m ˩˩˦ . r aː n ˧
จุมพฏ	t͡ɕ u m ˧ . pʰ o t̚ ˦˥
คอนลีย์	kʰ ɔː n ˧ . l iː ˥˩
สันดาล	s a n ˩˩˦ . d aː n ˧
การติ่ง	k aː n ˧ . t i ŋ ˨˩
ความวาว	kʰ w aː m ˧ . w aːw ˧
การยื่น	k aː n ˧ . j ɯː n ˥˩
พระยาประเทศราช	pʰ r a ˦˥ . j aː ˧ . p r a ˨˩ . tʰ eː t̚ ˥˩ . s a ˨˩ . r aː t̚ ˥˩
เครย์ฟิช	kʰ r eː ˧ . f i t̚ ˦˥
มกรา	m a ˦˥ . k a ˨˩ . r aː ˧
แวดล้อม	w ɛː t̚ ˥˩ . l ɔː m ˦˥
ดูไบ	d uː ˧ . b aj ˧
ค้อนปอนด์	kʰ ɔː n ˦˥ . p ɔː n ˧
ภรณี	pʰ a ˦˥ . r a ˦˥ . n iː ˧
ประเชิญ	p r a ˨˩ . t͡ɕʰ ɤː n ˧
ทันที	tʰ a n ˧ . tʰ iː ˧
แมมมอธ	m ɛ m ˧ . m ɔː t̚ ˦˥
เช้า	t͡ɕʰ aw ˦˥
ขวัญเอยขวัญมา	kʰ w a n ˩˩˦ . ʔ ɤːj ˧ . kʰ w a n ˩˩˦ . m aː ˧
ไคโร	kʰ aj ˧ . r oː ˧
บุคคล	b u k̚ ˨˩ . kʰ o n ˧ . l a ˦˥ .
การเปรียบเทียบ	k aː n ˧ . p r ia̯ p̚ ˨˩ . tʰ ia̯ p̚ ˥˩
ส่วนได้เสีย	s ua̯ n ˨˩ . d aːj ˥˩ . s ia̯ ˩˩˦
เคียว	kʰ ia̯w ˧
ถาวร	tʰ aː ˩˩˦ . w ɔː n ˧
เซน	s eː n ˧
ภูมิ	pʰ uː m ˧ . m i ˦˥ .
กล้าม	k l aː m ˥˩
ดูแล	d uː ˧ . l ɛː ˧
อำนาจ	ʔ a m ˧ . n aː t̚ ˥˩
แตะต้อง	t ɛʔ ˨˩ . t ɔ ŋ ˥˩
สตูล	s a ˨˩ . t uː n ˧
ครัวเรือน	kʰ r ua̯ ˧ . rɯ a̯ n ˧
เห	h eː ˩˩˦
ผู้ชนะ	pʰ uː ˥˩ . t͡ɕʰ a ˦˥ . n aʔ ˦˥
ชะนี	t͡ɕʰ a ˦˥ . n iː ˧
บุรพผลคุนี	p u p̚ ˨˩ . pʰ a ˦˥ . pʰ o n ˩˩˦ . l a ˦˥ . kʰ u ˦˥ . n iː ˧
สรีรวิทยา	s a ˨˩ . r iː ˧ . r a ˦˥ . w i t̚ ˦˥ . tʰ a ˦˥ . j aː ˧
วีรบุรุษ	w iː ˧ . r a ˦˥ . b u ˨˩ . r u t̚ ˨˩
หนองคาย	n ɔː ŋ ˩˩˦ . kʰ aːj ˧
หกสิบ	h o k̚ ˨˩ . s i p̚ ˨˩
อนุบาล	ʔ a ˨˩ . n u ˦˥ . b aː n ˧
วัดเสมียน	w a t̚ ˦˥ . s a ˨˩ . m ia̯ n ˩˩˦
ชื่อสกุล	t͡ɕʰ ɯː ˥˩ . s a ˨˩ . k u n ˧
ร้องเรียก	r ɔː ŋ ˦˥ . r ia̯ k̚ ˥˩
คะตะคะนะ	kʰ a ˦˥ . t a ˨˩ . kʰ a ˦˥ . n aʔ ˦˥
ภูต	pʰ uː t̚ ˥˩
ธันวา	tʰ a n ˧ . w aː ˧
มหาดไทย	m a ˦˥ . h aː t̚ ˨˩ . tʰ aj ˧
เกี่ยวข้อง	k ia̯w ˨˩ . kʰ ɔ ŋ ˥˩
ประมาท	p r a ˨˩ . m aː t̚ ˨˩
กว้าง	k w aː ŋ ˥˩
เพรียง	pʰ r ia̯ ŋ ˧
ฮิปโปโปเตมัส	h i p̚ ˦˥ . p oː ˧ . p oː ˧ . t eː ˧ . m a s ˦˥
จาม	t͡ɕ aː m ˧
ปืนครก	p ɯː n ˧ . kʰ r o k̚ ˦˥
การเวก	k aː ˧ . r a ˦˥ . w eː k̚ ˥˩
ศัลยกรรมเสริมสวย	s a n ˩˩˦ . j a ˦˥ . k a m ˧ . s ɤː m ˩˩˦ . s ua̯j ˩˩˦
เอกภาพ	ʔ eː k̚ ˨˩ . k a ˨˩ . pʰ aː p̚ ˥˩
อุตมรัฐ	ʔ u t̚ ˨˩ . t a ˨˩ . m a ˦˥ . r a t̚ ˦˥
ศักดิ์สิทธิ์	s a k̚ ˨˩ . s i t̚ ˨˩
กระเป๋าเงิน	k r a ˨˩ . p aw ˩˩˦ . ŋ ɤ n ˧
วอมแบต	w ɔ m ˧ . b ɛ t̚ ˨˩
อดกลั้น	ʔ o t̚ ˨˩ . k l a n ˥˩
สโลวีเนีย	s a ˨˩ . l oː ˧ . w iː ˧ . n ia̯ ˧
สาบ	s aː p̚ ˨˩
เปาบุ้นจิ้น	p aw ˧ . b u n ˥˩ . t͡ɕ i n ˥˩
กวด	k ua̯ t̚ ˨˩
ตรินิแดดและโตเบโก	t r i ˨˩ . n i ˦˥ . d ɛː t̚ ˨˩ . l ɛʔ ˦˥ . t oː ˧ . b eː ˧ . k oː ˧
ความเฮง	kʰ w aː m ˧ . h e ŋ ˧
กระดาษเช็ดปาก	k r a ˧ . d aː t̚ ˨˩ . t͡ɕʰ e t̚ ˦˥ . p aː k̚ ˨˩
ความหมาย	kʰ w aː m ˧ . m aːj ˩˩˦
ฆ่าปิดปาก	kʰ aː ˥˩ . p i t̚ ˨˩ . p aː k̚ ˨˩
สภาคณาจารย์	s a ˨˩ . pʰ aː ˧ . kʰ a ˦˥ . n aː ˧ . t͡ɕ aː n ˧
จ้างแรงงาน	t͡ɕ aː ŋ ˥˩ . r ɛː ŋ ˧ . ŋ aː n ˧
แอริโซนา	ʔ ɛː ˧ . r i ˦˥ . s oː ˧ . n aː ˥˩
เซ็กซี่	s e k̚ ˦˥ . s iː ˥˩
การอัญเชิญ	k aː n ˧ . ʔ a n ˧ . t͡ɕʰ ɤː n ˧
เกล้ากระหม่อม	k l aːw ˥˩ . k r a ˨˩ . m ɔ m ˨˩
เสี้ยนหนาม	s ia̯ n ˥˩ . n aː m ˩˩˦
พันธุ์พืช	pʰ a n ˧ . pʰ ɯː t̚ ˥˩
กองทุน	k ɔː ŋ ˧ . tʰ u n ˧
ฃ	kʰ ɔː ˩˩˦
แกงไตปลา	k ɛː ŋ ˧ . t aj ˧ . p l aː ˧
กันดารวิถี	k a n ˧ . d aː n ˧ . w i ˦˥ . tʰ iː ˩˩˦
ไพ่	pʰ aj ˥˩
หน้าปัด	n aː ˥˩ . p a t̚ ˨˩
กวม	k ua̯ m ˧
แสด	s ɛː t̚ ˨˩
เหลา	h eː ˩˩˦ . l aː ˧
ความน่าจะเป็น	kʰ w aː m ˧ . n aː ˥˩ . t͡ɕ a ˨˩ . p e n ˧
ยุทธการ	j u t̚ ˦˥ . tʰ a ˦˥ . k aː n ˧
ยุทธจักร	j u t̚ ˦˥ . tʰ a ˦˥ . t͡ɕ a k̚ ˨˩
การผงก	k aː n ˧ . pʰ a ˨˩ . ŋ o k̚ ˨˩
ความขำ	kʰ w aː m ˧ . kʰ a m ˩˩˦
เกี่ยว	k ia̯w ˨˩
ศารท	s aː ˩˩˦ . r a ˦˥ . tʰ a ˦˥ .
หนูตะเภา	n uː ˩˩˦ . t a ˨˩ . pʰ aw ˧
เพลงชาติ	pʰ l eː ŋ ˧ . t͡ɕʰ aː t̚ ˥˩
การเปลี่ยนแปลง	k aː n ˧ . p l ia̯ n ˨˩ . p l ɛː ŋ ˧
ถุงยาง	tʰ u ŋ ˩˩˦ . j aː ŋ ˧
โดปามีน	d oː ˧ . p aː ˧ . m iː n ˧
ไวไฟ	w aːj ˧ . f aːj ˧
นิเทศศาสตร์	n i ˦˥ . tʰ eː t̚ ˥˩ . s aː t̚ ˨˩
ก๋วยเตี๋ยว	k ua̯j ˩˩˦ . t ia̯w ˩˩˦
กบ	k o p̚ ˨˩
วันชาติ	w a n ˧ . t͡ɕʰ aː t̚ ˥˩
เลี้ยวเบน	l ia̯w ˦˥ . b eː n ˧
เจ้าโลก	t͡ɕ aːw ˥˩ . l oː k̚ ˥˩
หน้าเลือด	n aː ˥˩ . lɯ a̯ t̚ ˥˩
ลิ้น	l i n ˦˥
เขียวหวาน	kʰ ia̯w ˩˩˦ . w aː n ˩˩˦
ล่ม	l o m ˥˩
จำบัง	t͡ɕ a m ˧ . b a ŋ ˧
ณ	n aʔ ˦˥
ลีโอนาร์โด	l iː ˧ . ʔ oː ˧ . n aː ˧ . d oː ˥˩
อนิยมสรรพนาม	ʔ a ˨˩ . n i ˦˥ . j o m ˧ . m a ˦˥ . s a p̚ ˨˩ . pʰ a ˦˥ . n aː m ˧
ขอบพระคุณ	kʰ ɔː p̚ ˨˩ . pʰ r a ˦˥ . kʰ u n ˧
สิบห้า	s i p̚ ˨˩ . h aː ˥˩
ฮึด	h ɯ t̚ ˦˥
ลำพัง	l a m ˧ . pʰ a ŋ ˧
มหาธรรมราชาธิราช	m a ˦˥ . h aː ˩˩˦ . tʰ a m ˧ . m a ˦˥ . r aː ˧ . t͡ɕʰ aː ˧ . tʰ i ˦˥ . r aː t̚ ˥˩
จิ๊บจ๊อย	t͡ɕ i p̚ ˦˥ . t͡ɕ ɔːj ˦˥
จักรพรรดินี	t͡ɕ a k̚ ˨˩ . k r a ˨˩ . pʰ a t̚ ˦˥ . d i ˨˩ . n iː ˧
เนื่องจาก	n ɯa̯ ŋ ˥˩ . t͡ɕ aː k̚ ˨˩
การเงิน	k aː n ˧ . ŋ ɤ n ˧
สิบหก	s i p̚ ˨˩ . h o k̚ ˨˩
การเกษียณ	k aː n ˧ . k a ˨˩ . s ia̯ n ˩˩˦
ขอน	kʰ ɔː n ˩˩˦
การุณยฆาต	k aː ˧ . r u n ˧ . j a ˦˥ . kʰ aː t̚ ˥˩
สังหาร	s a ŋ ˩˩˦ . h aː n ˩˩˦
จิงโจ้	t͡ɕ i ŋ ˧ . t͡ɕ oː ˥˩
อรรฆ	ʔ a k̚ ˨˩
กินเจ	k i n ˧ . t͡ɕ eː ˧
จัก	c a k
อ๋อง	ʔ ɔ̌ ŋ
อมพระมาพูด	ʔ o m ˧ . pʰ r a ˦˥ . m aː ˧ . pʰ uː t̚ ˥˩
โต๊ะหมู่	t oʔ ˦˥ . m uː ˨˩
โปร่งใจ	p r oː ŋ ˨˩ . t͡ɕ aj ˧
ผงซักฟอก	pʰ o ŋ ˩˩˦ . s a k̚ ˦˥ . f ɔː k̚ ˥˩
ขากรรไกร	kʰ aː ˩˩˦ . k a n ˧ . k r aj ˧
ปืน	p ɯː n ˧
ปฏิชีวนะ	p a ˨˩ . t i ˨˩ . t͡ɕʰ iː ˧ . w a ˦˥ . n aʔ ˦˥
ลม	l o m ˧
ตอแหลแลนด์	t ɔː ˧ . l ɛː ˩˩˦ . l ɛː n ˧
ไง	ŋ aj ˧
งี่เง่า	ŋ iː ˥˩ . ŋ aw ˥˩
อุตสาหกรรม	ʔ u t̚ ˨˩ . s aː ˩˩˦ . h a ˨˩ . k a m ˧ . m a ˦˥ .
กาแฟเย็น	k aː ˧ . f ɛː ˧ . j e n ˧
แบตเตอรี่	b ɛ t̚ ˨˩ . t ɤː ˧ . r iː ˥˩
นิสิต	n i ˦˥ . s i t̚ ˨˩
วาร	w aː n ˧
นักแสดง	n a k̚ ˦˥ . s a ˨˩ . d ɛː ŋ ˧
ฉีดยา	t͡ɕʰ iː t̚ ˨˩ . j aː ˧
ความขัน	kʰ w aː m ˧ . kʰ a n ˩˩˦
นักแต่งบทละคร	n a k̚ ˦˥ . t ɛː ŋ ˨˩ . b o t̚ ˨˩ . l a ˦˥ . kʰ ɔː n ˧
รูปเคารพ	r uː p̚ ˥˩ . kʰ aw ˧ . r o p̚ ˦˥
โอเลี้ยง	ʔ oː ˧ . l ia̯ ŋ ˦˥
ใต้เท้า	t aj ˥˩ . tʰ aːw ˦˥
การอาเจียน	k aː n ˧ . ʔ aː ˧ . t͡ɕ ia̯ n ˧
หน่วยเสียง	n ua̯j ˨˩ . s ia̯ ŋ ˩˩˦
ชู้สาว	t͡ɕʰ uː ˦˥ . s aːw ˩˩˦
ก๊อป	k ɔ p̚ ˦˥
แอปพลิเคชัน	ʔ ɛ p̚ ˦˥ . pʰ l i ˨˩ . kʰ eː ˧ . t͡ɕʰ a n ˥˩
กำเริบ	k a m ˧ . r ɤː p̚ ˥˩
สภาบดี	s a ˨˩ . pʰ aː ˧ . b ɔː ˧ . d iː ˧
ไม้แขวนเสื้อ	m aːj ˦˥ . kʰ w ɛː n ˩˩˦ . s ɯa̯ ˥˩
หมากฝรั่ง	m aː k̚ ˨˩ . f a ˦˥ . r a ŋ ˨˩
ศาลพระภูมิ	s aː n ˩˩˦ . pʰ r a ˦˥ . pʰ uː m ˧
ศัพทมูล	s a p̚ ˨˩ . tʰ a ˦˥ . m uː n ˧
ชาด	t͡ɕʰ aː t̚ ˥˩
กระต่ายป่า	k r a ˨˩ . t aːj ˨˩ . p aː ˨˩
ตั๋ว	t ua̯ ˩˩˦
ระบำ	r a ˦˥ . b a m ˧
ทู	tʰ uː ˧
แคร์รอต	kʰ ɛː ˧ . r ɔ t̚ ˨˩
อีเห็น	ʔ iː ˧ . h e n ˩˩˦
ศุนัก	s u ˨˩ . n a k̚ ˦˥
รู้จักมักคุ้น	r uː ˦˥ . t͡ɕ a k̚ ˨˩ . m a k̚ ˦˥ . kʰ u n ˦˥
การอุ้ม	k aː n ˧ . ʔ u m ˥˩
ญาติดี	j aː t̚ ˥˩ . d iː ˧
ปฤกษา	p rɯ k̚ ˨˩ . s aː ˩˩˦
ฟองสบู่	f ɔː ŋ ˧ . s a ˨˩ . b uː ˨˩
โซล	s oː l ˧
สกล	s a ˨˩ . k o n ˧
ถ่อง	tʰ ɔ ŋ ˨˩
บิน	b i n ˧
บุคลิก	b u k̚ ˨˩ . kʰ a ˦˥ . l i k̚ ˦˥
อาคม	ʔ aː ˧ . kʰ o m ˧
สุนัข	s u ˨˩ . n a k̚ ˦˥
คอร์รับชั่น	kʰ ɔː ˧ . r a p̚ ˦˥ . t͡ɕʰ a n ˥˩
ไทยเดิ้ง	tʰ aj ˧ . d ɤ ŋ ˥˩
การดำเนินคดี	k aː n ˧ . d a m ˧ . n ɤː n ˧ . kʰ a ˦˥ . d iː ˧
เมษบาล	m eː t̚ ˥˩ . s a ˨˩ . b aː n ˧
ติเรือทั้งโกลน	t i ˨˩ . rɯ a̯ ˧ . tʰ a ŋ ˦˥ . k l oː n ˧
หลิ่ว	l iw ˨˩
ง้อ	ŋ ɔː ˦˥
อ่อนโยน	ʔ ɔː n ˨˩ . j oː n ˧
คติ	kʰ a ˦˥ . t i ʔ ˨˩
อิงแอบ	ʔ i ŋ ˧ . ʔ ɛː p̚ ˨˩
บัญญัติ	b a n ˧ . j a t̚ ˨˩
หยั่มมา	j a m ˨˩ . m aː ˧
ผิวปาก	pʰ iw ˩˩˦ . p aː k̚ ˨˩
แกรไฟต์	k r ɛː ˧ . f aj ˦˥
ความประพฤติ	kʰ w aː m ˧ . p r a ˨˩ . pʰ rɯ t̚ ˦˥
โท	tʰ oː ˧
กิเลส	k i ˨˩ . l eː t̚ ˨˩ . s a ˨˩ .
บุ๊ก	b u k̚ ˦˥
เมลเบิร์น	m e l ˧ . b ɤː n ˧
สะบัด	s a ˨˩ . b a t̚ ˨˩
สเก็ต	s a ˨˩ . k e t̚ ˦˥
ทับซ้อน	tʰ a p̚ ˦˥ . s ɔː n ˦˥
คนไข้	kʰ o n ˧ . kʰ aj ˥˩
หลาย	l aːj ˩˩˦
ลำโพง	l a m ˧ . pʰ oː ŋ ˧
ผู้เฒ่า	pʰ uː ˥˩ . tʰ aw ˥˩
มัชฌิมเลขคณิต	m a t̚ ˦˥ . t͡ɕʰ i m ˧ . l eː k̚ ˥˩ . kʰ a ˦˥ . n i t̚ ˦˥
วิตก	w i ˦˥ . t o k̚ ˨˩
สมส่วน	s o m ˩˩˦ . s ua̯ n ˨˩
ทัปเปอร์แวร์	tʰ a p̚ ˦˥ . p ɤː ˥˩ . w ɛː ˧
สตางค์	s a ˨˩ . t aː ŋ ˧
ขบ	kʰ o p̚ ˨˩
อาราธนา	ʔ aː ˧ . r aː t̚ ˥˩ . tʰ a ˦˥ . n aː ˧
ฉนาก	t͡ɕʰ a ˨˩ . n aː k̚ ˨˩
มิสซูรี	m i s ˦˥ . s uː ˧ . r iː ˥˩
ทราบ	s aː p̚ ˥˩
กานพลู	k aː n ˧ . pʰ l uː ˧
ชาวนา	t͡ɕʰ aːw ˧ . n aː ˧
บุญ	b u n ˧ . j a ˦˥ .
สม	s a ˨˩ . m a ˦˥ .
